"filename", "language", "Properties", "JavaScript", "SCSS", "XML", "JavaScript JSX", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\button2.module.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\dark-mode-switch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\footer.module.scss", "SCSS", 0, 0, 47, 0, 0, 0, 0, 3, 50
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\input1.module.scss", "SCSS", 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\clientportal.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\landingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 9, 8, 60
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\login.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 9, 7, 79
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\styles\LandingPage.module.scss", "SCSS", 0, 0, 71, 0, 0, 0, 3, 5, 79
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\styles\index.scss", "SCSS", 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\styles\login.module.scss", "SCSS", 0, 0, 80, 0, 0, 0, 0, 10, 90
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 0, -34, 0, 1, 208, -196, -9, -1, -31
